what expression would i use to say i love you if i were an italian,translate 
how do i know if you are a real person,are_you_a_bot
are you a real person or a bot,are_you_a_bot
am i talking to a person or a bot,are_you_a_bot
are you a machine,are_you_a_bot
are you a real person or artificial intelligence,are_you_a_bot
are you a real person or automated,are_you_a_bot
are you a real person or software,are_you_a_bot
are you a real person or a robot,are_you_a_bot
are you an ai or can you prove you're human,are_you_a_bot
are you a human or an ai,are_you_a_bot
"are you an actual person, or ai",are_you_a_bot
are you a bot or a real person,are_you_a_bot
do you identify as a human or computer,are_you_a_bot
please specify if you are human or computer,are_you_a_bot
tell me if you are a human or a computer,are_you_a_bot
can you specify if you are a human or a computer,are_you_a_bot
let me know if you are a human or a computer,are_you_a_bot
is this a computer right now or a human being,are_you_a_bot
is this human or a robot,are_you_a_bot
"please, recite to me some good one liners",tell_joke
do you know any good jokes about zebras,tell_joke
can you tell me any truly funny knock knock jokes,tell_joke
what do people find funny about food,tell_joke
what are some funny things about food,tell_joke
show me something funny about food,tell_joke
indicate something funny on the topic of food,tell_joke
what's a good joke,tell_joke
i'd love to hear a joke,tell_joke
can you tell a joke,tell_joke
would you tell me a joke,tell_joke
how about you tell me a joke,tell_joke
will you tell a joke,tell_joke
please tell me a joke,tell_joke
make me laugh,tell_joke
do you have any jokes,tell_joke
tell me something funny,tell_joke
hit me with a good joke,tell_joke
what's the funniest joke you know,tell_joke
tell me a joke if you'd like to,tell_joke
tell me a funny joke,tell_joke
i'd like you to tell me a joke,tell_joke
do you know any good jokes,tell_joke
know any jokes,tell_joke
i wanna hear something funny,tell_joke
i would like to listen to a funny joke,tell_joke
what jokes do you know,tell_joke
could you please tell me a good joke,tell_joke
what funny jokes do you know,tell_joke
can you make me laugh,tell_joke
can you tell me a few funny jokes,tell_joke
tell me something funny about parenting,tell_joke
do you have a list of funny jokes,tell_joke
i want to hear something funny,tell_joke
tell me something funny about animals,tell_joke
tell me something funny about politics,tell_joke
tell me something amusing,tell_joke
say something funny,tell_joke
tell me something funny about adulthood,tell_joke
tell me something funny about americans,tell_joke
could you please share a joke with me,tell_joke
i could really use a laugh right now,tell_joke
would you like to tell me a joke,tell_joke
can you tell me a joke,tell_joke
i'd like to hear a joke,tell_joke
i want to hear you tell a joke,tell_joke
tell me a joke,tell_joke
tell me a joke about politicians,tell_joke
tell me something that'll make me laugh,tell_joke
tell me a joke about cows,tell_joke
do you know anything funny about cats,tell_joke
tell me a joke about jobs,tell_joke
what's the funniest thing you know about artificial intelligence,tell_joke
can you tell me a joke about politicians,tell_joke
tell me a joke about cars,tell_joke
can you tell me something funny,tell_joke
do you know any good jokes about lawyers,tell_joke
what¡¯s your favorite funny joke,tell_joke
make me laugh with a funny joke,tell_joke
what funny joke do you know,tell_joke
i want to hear a joke that¡¯s funny,tell_joke
tell me a dirty joke,tell_joke
tell me a non-offensive joke,tell_joke
i would like to hear a funny joke,tell_joke
look for funny jokes,tell_joke
what are some funny jokes,tell_joke
tell me something funny about pizza,tell_joke
tell me something funny about people,tell_joke
tell me something funny about love,tell_joke
say something hilarious,tell_joke
make me giggle,tell_joke
i need a good laugh,tell_joke
heard any good jokes lately,tell_joke
tell me a pun,tell_joke
what's the latest joke you've heard,tell_joke
tell me a joke about dogs,tell_joke
let me know something funny,tell_joke
tell me a joke about cats,tell_joke
tell me something funny now,tell_joke
i wanna know something funny,tell_joke
tell me something funny about rats,tell_joke
tell me a joke about animals,tell_joke
tell me a joke about lawyers,tell_joke
tell me a joke about rats,tell_joke
tell me something funny about cats,tell_joke
tell me something funny about dogs,tell_joke
i need to know somthing funny,tell_joke
do you have anything funny to tell me,tell_joke
do you have any jokes to tell me,tell_joke
mind sharing a joke,tell_joke
could you share a joke,tell_joke
i love dad jokes can you tell me one,tell_joke
i would love to hear a joke about the dmv,tell_joke
can you tell me some dog jokes,tell_joke
please tell me a joke about dinosaurs,tell_joke
i'd like to hear a joke about donkeys,tell_joke
tell me a joke about baseball,tell_joke
what's the funniest thing you know about peanuts,tell_joke
i need a good joke about office parties,tell_joke
give me a joke about horses,tell_joke
what is your birthday again,how_old_are_you
how many years on the earth,how_old_are_you
what year were you born,how_old_are_you
how many days old are you,how_old_are_you
when were you created,how_old_are_you
what date were you created on,how_old_are_you
when did you come to exist,how_old_are_you
how many years do you have,how_old_are_you
i'd like to know how old you are,how_old_are_you
can you tell me how old you are,how_old_are_you
how long have you been alive for,how_old_are_you
how many years ago was al born,how_old_are_you
how old is al,how_old_are_you
what is al's age,how_old_are_you
how many years has al been on earth,how_old_are_you
you are how old now,how_old_are_you
what is your birth date,how_old_are_you
where's your place of birth,how_old_are_you
where did you grow up,how_old_are_you
how many years are you,how_old_are_you
what age are you,how_old_are_you
what would your age be,how_old_are_you
tell me when you were born,how_old_are_you
i'd love to hear when you were born,how_old_are_you
i'd like to know when you were born,how_old_are_you
lemme know when you were born,how_old_are_you
do you know when you were born,how_old_are_you
how many years have you been on,how_old_are_you
how long have you been here,how_old_are_you
how many years have you been operating,how_old_are_you
how old did you just turn,how_old_are_you
how old will you be next year,how_old_are_you
how old are you again,how_old_are_you
i am wanting to know how old you are,how_old_are_you
tell me how old youare,how_old_are_you
let me know how old you are,how_old_are_you
let me know when you were born,how_old_are_you
would you tell me your age,how_old_are_you
i would like to know when you were born,how_old_are_you
i want to know how old you are,how_old_are_you
i want to know your age,how_old_are_you
could you let me know how old you are,how_old_are_you
could you tell me when you were born,how_old_are_you
i need to know how old you are,how_old_are_you
i am needing to know when you were born,how_old_are_you
tell me your age,how_old_are_you
your age please,how_old_are_you
how long have you been alive,how_old_are_you
you are how old,how_old_are_you
how old are you now,how_old_are_you
how old are you exactly at the moment,how_old_are_you
what's your age again,how_old_are_you
how old are you exactly,how_old_are_you
how many years old are you,how_old_are_you
what is your age,how_old_are_you
"how old are you, again",how_old_are_you
tell me how old you are,how_old_are_you
how old are you,how_old_are_you
what is your creation date,how_old_are_you
do you have a birth date,how_old_are_you
for how long have you existed,how_old_are_you
"ai, how old are you",how_old_are_you
"ai, how long have you been alive",how_old_are_you
"ai, how many months old are you",how_old_are_you
"ai, how long have you been working",how_old_are_you
how old is the ai,how_old_are_you
what is the age of the ai,how_old_are_you
can you tell me how old the ai is,how_old_are_you
can you tell me the age of the ai,how_old_are_you
what age is the ai,how_old_are_you
how old are you siri,how_old_are_you
what's your age siri,how_old_are_you
what's your age alexa,how_old_are_you
how old are you alexa,how_old_are_you
how old are you today,how_old_are_you
can you tell me when you were born,how_old_are_you
are you older than me,how_old_are_you
please tell me your date of birth,how_old_are_you
on what day and date of what year were you born,how_old_are_you
do you know exactly when you were born,how_old_are_you
what is the exact date of your birth,how_old_are_you
"how long have you been around, ai",how_old_are_you
"what birthday are you celebrating this year, ai",how_old_are_you
"what age were you on your last birthday, ai",how_old_are_you
"how old are you, ai",how_old_are_you
"what is your age, ai",how_old_are_you
when was your birth,how_old_are_you
you're how old,how_old_are_you
what's your birth date,how_old_are_you
how long have you been around,how_old_are_you
are you young or old,how_old_are_you
how long have you been functional,how_old_are_you
what's your age,how_old_are_you
when did you originate,how_old_are_you
what is the date of your birth,how_old_are_you
what is your birthday,how_old_are_you
tell me your date of birth,how_old_are_you
tell me your age please,how_old_are_you
tell me your birthday,how_old_are_you
how long ago were you born,how_old_are_you
"\""in spanish"," meet me tomorrow is said how""",translate
"in french, how do i say, see you later",translate
how do you say hello in japanese,translate
how do i ask about the weather in chinese,translate
"how can i say ""cancel my order"" in french",translate
how do i say dinner in spanish,translate
how do you say good bye in french,translate
how do i say thank you in spanish,translate
how do i say good bye in chinese,translate
how can i say thank you very much in chinese,translate
i need to know how to say hello in france,translate
would you tell me how to say goodbye in france,translate
how do you say hello in mexico,translate
tell me how to say hello in chile,translate
i want to know how to say goodbye in france,translate
"would you translate a sentence into russian for me, please",translate
would you translate a phrase into mandarin for me,translate
"can you translate this name into spanish for me, please",translate
"could you translate this into chinese for me, please",translate
could you translate water into dutch for me,translate
create a new timer,timer
i'd like to set a new timer,timer
help me set a timer please,timer
10 minutes is what the timer should be set at,timer
the timer should have 10 minutes set to it,timer
10 minutes is the setting for the timer,timer
the timer is calculated for 10 minutes,timer
set the timer for 10 minutes,timer
can you set a 30 second timer,timer
please set a timer to go off in 45 minutes,timer
i need you to create a timer,timer
i need a timer set please,timer
create a timer that is set to go off after 25 mins,timer
i need a timer that is set at 1 hour exactly,timer
could you set up a timer for me,timer
will you start a timer for me,timer
set up a 52 minute timer,timer
please set up a timer for me,timer
set 60 minutes for oven please,timer
please make the timer for cooking for for 2 hours,timer
may i please have a definition for the work churlish,definition
i want to know what trenchant means,definition
what is the meaning of fascism,definition
can you tell me what a septuagenarian is,definition
can you define the word schadenfreude,definition
what does unsavory mean,definition
please define erection for me,definition
what does idiosyncratic mean,definition
tell me the meaning of condemnation,definition
define monetary for me please,definition
tell me the meaning of hegemony,definition
what does indignation mean,definition
define ambivalence for me please,definition
please define institutional racism,definition
define antagonist for me please,definition
what does distinguish mean,definition
what is the meaning of word alliance,definition
i need to know what dominate means,definition
what is the definition of the word migrate,definition
tell me please what paean means,definition
i want to know what the purpose of life is,meaning_of_life
i want to hear what you think life's purpose is about,meaning_of_life
what do you think the purpose of life is,meaning_of_life
what is the purpose of existence,meaning_of_life
what do you think our purpose is in life,meaning_of_life
i'd like to know the meaning of life,meaning_of_life
what's your opinion on the meaning of life,meaning_of_life
what is life's purpose,meaning_of_life
tell me all about the meaning of life,meaning_of_life
tell me your thoughts about the meaning of life,meaning_of_life
do you have any ideas on the meaning of life,meaning_of_life
do you know the deeper meaning of life,meaning_of_life
tell me the meaning of life,meaning_of_life
"can you tell me, what is the meaning of life",meaning_of_life
"what is the meaning behind life, do you think",meaning_of_life
what is our purpose,meaning_of_life
what do you think we are on earth for,meaning_of_life
what do you think life is really about,meaning_of_life
do you think we have a higher calling,meaning_of_life
why are humans on earth,meaning_of_life
tell me something interesting about lake tahoe,fun_fact
tell me a cool fact about reno,fun_fact
tell me something interesting about new york state,fun_fact
give me a cool fact about new orleans,fun_fact
give me a cool fact about seattle,fun_fact
tell me something interesting about elephants,fun_fact
tell me something interesting about dogs,fun_fact
give me a cool fact about potatoes,fun_fact
give me a cool fact about puppies,fun_fact
give me a cool fact about lsd,fun_fact
tell me a fun fact about the moon landing,fun_fact
what's a fun fact about axolotls,fun_fact
tell me a fact about the maned wolf,fun_fact
give me harry potter trivia,fun_fact
tell me an axolotl fact,fun_fact
i need a spider fact,fun_fact
show me trivia about cats,fun_fact
read me some different cat trivia items,fun_fact
find me cat trivia now please,fun_fact
read me cat trivia,fun_fact
what time is it in france,time
what's the time in london right now,time
what hour is it in london,time
what's the time,time
what is the time in london,time
i need to know what time it is,time
what time of day is it in london,time
tell me what time it is,time
what time of day is it,time
what time is it in the pacific timezone,time
what time is it in pacific standard time,time
what time is it over in pacific time,time
what time is in over there in pacific standard time,time
what time is it in the pacific standard time,time
what is the time in paris now,time
time in manhattan,time
how late is it now in ourense,time
what is the current time right now in hollywood,time
what time is it now in michigan,time
what's the clock say,time
flip a normal coin,flip_coin
flip a heads or tails coin i pick heads,flip_coin
"flip a coin, i choose heads",flip_coin
please flip a coin - i call heads,flip_coin
can you flip a coin i pick heads,flip_coin
please flip coin ai,flip_coin
flip a coin now,flip_coin
please flip a coin,flip_coin
i need you to flip a coin,flip_coin
flip coin ai,flip_coin
please go ahead and flip a coin,flip_coin
flip the coin ai,flip_coin
please flip coin,flip_coin
i wanna flip a coin,flip_coin
please flip the coin,flip_coin
please flip the coin over ai,flip_coin
i'm wanting you to flip a coin,flip_coin
flip me a coin,flip_coin
i want you to flip a coin now,flip_coin
i call tails and you call heads on this coin flip i need you to do,flip_coin
what place were you born at,where_are_you_from
where were you born as a kid,where_are_you_from
tell me where you were created,where_are_you_from
what place were you made at,where_are_you_from
what place were you actually born at,where_are_you_from
what place do you come from,where_are_you_from
where do you hale from,where_are_you_from
what place were you born,where_are_you_from
where are you from before you got here,where_are_you_from
let me know when you were made,where_are_you_from
where you from,where_are_you_from
where are you from if i may ask,where_are_you_from
where are you from oroginally,where_are_you_from
where are you originally from before coming here,where_are_you_from
what's your home town,where_are_you_from
what country are you from,where_are_you_from
are you from here,where_are_you_from
were you made here,where_are_you_from
where did you come from,where_are_you_from
you were made where,where_are_you_from
i do not have that information,maybe
i can't give you an answer to that,maybe
i do not know the answer to that,maybe
perhaps,maybe
possibly either one,maybe
i don't have any idea,maybe
can't say,maybe
i couldn't say either could be possible,maybe
which one i don't know either i guess,maybe
i just don't know,maybe
don't have any idea,maybe
i couldn't say,maybe
i don't know the anwser,maybe
couldn't tell you,maybe
either i am not sure,maybe
either of them could be i'm not sure,maybe
don't know,maybe
idk,maybe
i don't have an answer for that,maybe
maybe it does,maybe
who is your designer,who_made_you
what company is responsible for your design,who_made_you
who is responsible for your design,who_made_you
what firm is responsible for your design,who_made_you
who were you created by,who_made_you
what is the company that made you,who_made_you
who are you manufactured by,who_made_you
who is your manufacturer,who_made_you
who makes you,who_made_you
what organization manufactures you,who_made_you
who's your creator,who_made_you
what manufactures you,who_made_you
who is the person responsible for creating you,who_made_you
who brought you into existence,who_made_you
who formed thou,who_made_you
who conjured you,who_made_you
who programmed you,who_made_you
where were you programmed,who_made_you
what company designed you,who_made_you
"who or what programmed you, do you know",who_made_you
i want you to skip past this song to the next track,next_song
please skip this song and go to the next one instead,next_song
would you skip past this song and just play what comes next,next_song
"i dont want to hear this song, just play the next one",next_song
let's skip over this song and listen to the next tune instead,next_song
would you play the next song,next_song
i want you to skip this song,next_song
i need for you to skip this song,next_song
please skip this song for me,next_song
would you skip this song,next_song
i don't want to hear this song; skip it,next_song
"now, i want you to play the next song",next_song
i am needing the next song to be played,next_song
i want the next song played,next_song
needing you to play the next song,next_song
next song please,next_song
change this song it sucks so bad,next_song
can i hear the song after this one,next_song
can you skip this song and go to the next one,next_song
what is the next song on this playlist,next_song
that's definitely true,yes
"yup, that's true",yes
"yes, that is true for sure",yes
i know that is true,yes
"true, most definitely",yes
facts,yes
you are not wrong about that,yes
that makes sense as well,yes
you are correct,yes
agreed,yes
accepted,yes
confirmed,yes
approved,yes
i want you to know it's a true statement,yes
i know that the statement is true,yes
this is a true statement,yes
the statement is true,yes
i'm telling you this is a true statement,yes
that's a yes,yes
affirmitive,yes
what's the best place to visit in arizona,travel_suggestion
what's the best restaurant in arizona for pizza,travel_suggestion
what are popular mountains to hike in arizona,travel_suggestion
do you think arizona has plenty of bike routes,travel_suggestion
find the favorite destination for traveling this year,travel_suggestion
can you suggest some of the most popular travel destination,travel_suggestion
what is there to do in craberra,travel_suggestion
give me location for tourist destination in bangkok,travel_suggestion
i want to know about tourist places for bangkok,travel_suggestion
i want list of tourist destination for paris,travel_suggestion
i want to know where to visit in bangkok,travel_suggestion
"i would like to find a list of cool things recommended for tourists in copenhagen, denmark",travel_suggestion
"i need some recommendations for fun tourist activities in washington, dc",travel_suggestion
what are some exciting things that are a must do for tourists visiting sedona,travel_suggestion
please do a search for entertaining activities for tourists in mexico city,travel_suggestion
"can you give me some fun suggestions for tourists to check out in las vegas, please",travel_suggestion
"in seoul, what things can i do",travel_suggestion
what to do in minneapolis,travel_suggestion
what can i do in hong kong,travel_suggestion
what's a good place to vacation,travel_suggestion
can you cancel my todo list please,todo_list_update
wipe my todo list please,todo_list_update
can you delete my todo list please,todo_list_update
remove my todo list,todo_list_update
please delete my todo list,todo_list_update
can you add laundry to my to do list,todo_list_update
put laundry on my chore list,todo_list_update
erase my to do list,todo_list_update
i need to do laundry later today,todo_list_update
put laundry on my list of things to do,todo_list_update
clear my to do list,todo_list_update
erase the items on my to do list,todo_list_update
i'm finished with my to do list,todo_list_update
i need laundry to be put on my list of things to do,todo_list_update
please delete the items on my to do list,todo_list_update
"remind me to wash the dog, put on list of things to do",todo_list_update
add to my list of things to do: wash the dog,todo_list_update
please put wash the dog on my list of things to do,todo_list_update
put wash the dog on my to do list please,todo_list_update
add wash the dog to my list of things to do,todo_list_update
please read my reminder list,reminder
read my reminder list back to me,reminder
i want you to read my reminder list to me,reminder
i want to hear my reminder list,reminder
read my reminder list to me please,reminder
"i wanted to remember somethings, what was it",reminder
list the things i wanted to remember,reminder
recall the things i wanted to remember,reminder
what were those things i wanted to remember,reminder
what was it i wanted to remember,reminder
what does my running list of stuff to do list,reminder
what is on my to do list,reminder
what is my plan for the day,reminder
what are the things i wanted to recall,reminder
what things did i not want to forget,reminder
what is it i wanted to bear in mind,reminder
what are the things that i wanted to keep in mind,reminder
tell me my reminder list,reminder
"whats on my reminder list, read back",reminder
read all my reminders,reminder
ill pass,no
not happening,no
"no, that is fake",no
hell nah,no
"no, that is invalid",no
i would prefer not,no
thats a negative,no
i meant no,no
i am saying no,no
that is not factual,no
"no, that is not correct",no
i do not think that is proper,no
no good,no
negatory,no
invalid,no
absolutely not,no
certainly not,no
"no, that's wrong",no
"no, that's not it",no
"no, that's not right",no
what is tuesday's calendar like,calendar
can you check what is on my calendar for tuesday,calendar
check what's on my calendar for tuesday,calendar
what is tuesday like on my calendar,calendar
what appointments do i have tomorrow after 1:00pm,calendar
what is the date of my next scheduled dentist appointment,calendar
do i have anything scheduled on my calendar for next tuesday,calendar
what do i have going on for 12/03/2019,calendar
where do i have to be on 12/03/2019,calendar
do i have plans on 12/03/2019,calendar
what's my schedule like for thursday the 14th,calendar
does my calendar show anything for thursday the 14th,calendar
do i have anything scheduled for thursday the 14th,calendar
can you tell me what my calendar is like for thursday the 14th,calendar
what appointments do i have on thursday the 14th,calendar
is my day open for march 4th 2019,calendar
is anything happening on march 4th 2019,calendar
are there any active events for march 4th 2019,calendar
"check my calendar for march 4th 2019, please",calendar
read back my day for march 4th 2019,calendar
help me solve this math equation,calculator
i need your assistance to solve this math problem,calculator
can you multiply 45 by 23,calculator
can you divide 100 by 20,calculator
can you subract 36 from 5,calculator
can you add 5 and 89,calculator
multiply 7 and 42,calculator
"what is the sum of 3, 7, 9, and 24",calculator
add up 8 and 7,calculator
what is the square root of 888,calculator
what is 87 divided by 4,calculator
what is the square root of 8814,calculator
what is 89 divided by 3,calculator
what is 13 times 57,calculator
can you tell me the square root of pi,calculator
what is 543 times 344,calculator
what is seventeen plus three,calculator
what is the derivative of x squared plus 5,calculator
can you factor x squared plus 4 x plus 4,calculator
is 126 divisible by 8,calculator
that you so much for the help,thank_you
thanks for helping me,thank_you
thanks for helping me out today,thank_you
thanks for the assist,thank_you
thank you for the help,thank_you
thanks for your help,thank_you
thank you for your help,thank_you
i'm thankful for your help,thank_you
i am glad that you did that,thank_you
i owe you one,thank_you
i appreciate you doing that,thank_you
appreciated,thank_you
i am happy you did that for me,thank_you
"thanks, you've helped me",thank_you
"thanks, i appreciate it",thank_you
i'm thankful,thank_you
you have my gratitude,thank_you
you've been a big help,thank_you
special thanks to you,thank_you
you have my sincere gratitude,thank_you
i would like you to roll a dice,roll_dice
please roll a 10 sided die and tell me what number it is,roll_dice
can you roll a dice for me,roll_dice
please roll a dice,roll_dice
roll a 6 sided die and tell me the result,roll_dice
can you roll a dice with 8 sides,roll_dice
can you roll a dice with 6 sides,roll_dice
roll a 10 sided dice,roll_dice
roll an 8 sided dice,roll_dice
roll a 6 sided dice,roll_dice
please roll this 8 sided dice,roll_dice
i want you to roll a 5 sided dice for me,roll_dice
give a 6 sided dice a roll for me,roll_dice
complete a roll on a 4 sided dice,roll_dice
i need a roll on a 6 sided dice,roll_dice
roll that dice,roll_dice
please roll that dice,roll_dice
roll the dice now,roll_dice
"i need to make a quick decision, so roll a dice!",roll_dice
i need you to roll a dice that has six sides and tell me what it lands on,roll_dice
remind me to call my mom,reminder_update
set a reminder for me to request time off work around the holidays,reminder_update
remind me to get an oil change,reminder_update
i need a reminder to order cookies,reminder_update
remind me to write that letter,reminder_update
set a reminder to pay my taxes,reminder_update
remind me to do something,reminder_update
you need to remind me to do something,reminder_update
i need to be reminded,reminder_update
i need to make a reminder,reminder_update
can you set a reminder for me,reminder_update
i need to set up a reminder for myself,reminder_update
create a reminder,reminder_update
remind me to check the steak,reminder_update
i just put steaks on the grill remind me to check them at the right time,reminder_update
don't let me forget to check the steak,reminder_update
set a reminder to check the steak,reminder_update
can you set a reminder for the current time tommorow,reminder_update
set a reminder for me to request time off,reminder_update
can i have a reminder set up,reminder_update
repeat my to do list,todo_list
what do i have to do,todo_list
instruct me what to do,todo_list
recite my to do list,todo_list
will you please tell me my to do list,todo_list
what do i need to do,todo_list
did i put cutting the grass on my todo list,todo_list
is there anything on my todo list for taking out the trash,todo_list
is cleaning the outside windows on my todo list,todo_list
what do i have on my todo list,todo_list
have i added anything to my todo list,todo_list
did i make a note on my todo list to mop the bathroom floor,todo_list
is my todo list free,todo_list
can you tell me if there is anything on my todo list,todo_list
do i have anything on my todo list,todo_list
did i put a car wash on my todo list,todo_list
did i put vacuuming on my todo's,todo_list
is vacuuming on my todo list,todo_list
does my todo list have vacuuming on it,todo_list
is cleaning the garage on my to do list,todo_list
make your volume quieter please,change_volume
adjust the volume to level 4,change_volume
i want your volume decreased please,change_volume
could you please raise your volume,change_volume
i want your volume lowered,change_volume
i want your volume louder,change_volume
i want the volume at 4 please,change_volume
i want the volume at level 4,change_volume
a volume of 4 is ideal please,change_volume
i need your volume increased,change_volume
can you please turn your volume down,change_volume
please turn the volume to 4,change_volume
please turn your volume up,change_volume
turn down your volume please,change_volume
turn up your volume,change_volume
could you increase the speaker volume please,change_volume
would you please increase the speaker volume,change_volume
increase the speaker volume please,change_volume
can you increase the speaker volume please,change_volume
please turn your speaker volume up,change_volume
see ya!,goodbye
"this was fun, see you around bye",goodbye
until next time,goodbye
"i enjoyed our talk, bye",goodbye
this was a nice chat,goodbye
i enjoyed speaking with you,goodbye
peace out!,goodbye
"this was a nice chat, goodbye",goodbye
this was a nice conversation,goodbye
"good talk, see you later",goodbye
it was lovely to speak with you,goodbye
"it was lovely to speak with you, bye bye",goodbye
"thank you for the chat, goodbye",goodbye
"a pleasure as always to speak with you, bye",goodbye
"thank you for chatting with me, bye",goodbye
"i enjoyed our talk, goodbye",goodbye
"it was a pleasure talking to you, goodbye now",goodbye
farewell,goodbye
goodnight,goodbye
have a good day,goodbye
whats this song,what_song
nice song what is it,what_song
"cool song, what is it",what_song
what music is this,what_song
is this a song that i dont know,what_song
what¡¯s the name of this song,what_song
what is the current tune,what_song
what am i listening to right now,what_song
what is the name of the song playing right now,what_song
what is that song called,what_song
name this song,what_song
what's that song on the speaker now,what_song
what's the name of the song playing right now,what_song
what song is playing right now,what_song
do you know the song on the speaker right now,what_song
what's that song that is playing now,what_song
what is that tune,what_song
tell me the title of the song playing,what_song
i need this song title,what_song
what song am i hearing,what_song
what is the total number of pints in two quarts,measurement_conversion
can you tell me the number of ounces in a quart,measurement_conversion
what is the correct amount of ounces in a pound,measurement_conversion
how many tablespoons are there in half of a cup,measurement_conversion
i need to know how many teaspoons are equivalent to two tablesppons,measurement_conversion
give me celcius to fahrenheit,measurement_conversion
what's the equivalent of 1 cup to pounds,measurement_conversion
i need kilograms to milligrams,measurement_conversion
how do i convert a cup to ml,measurement_conversion
give me kilograms to pounds,measurement_conversion
convert 2 cups to liters,measurement_conversion
how many tablespoons is 5 teaspoons,measurement_conversion
how many teaspoons in one tablespoon,measurement_conversion
how many ounces is 2 and half cups,measurement_conversion
how many gallons is 50 liters,measurement_conversion
how many ounces in a liter,measurement_conversion
how many ounces in a cup,measurement_conversion
how many ml's are in a gallon,measurement_conversion
how many teaspoons in an ounce,measurement_conversion
how many teaspoons make up in 1 tablespoon,measurement_conversion
talk to me about where im at right now,current_location
can you tell me where i am,current_location
you need all five answers,current_location
give me my gps coordinates,current_location
pass me my gps coordinates,current_location
i need to know what my gps coordinates are,current_location
can you give me my gps coordinates,current_location
so what are my current gps coordinates,current_location
can you find the exact address for where i am currently,current_location
tell me what to enter into my gps for my current location,current_location
please tell me the address of my current location,current_location
i need to know the name of my current location for the tow truck,current_location
what is this place,current_location
where exactly am i at the moment,current_location
where am i at currently,current_location
what location is this,current_location
what are my coordinates,current_location
where am i on gps,current_location
latitude and longitude please,current_location
"location currently, where",current_location
what's is the current weather forecast,weather
tell me the forecast,weather
what's the weather like,weather
what's the forecast for the day,weather
i need to know the weather,weather
weather forecast please,weather
what's today's weather,weather
i need to know today's forecast,weather
is it going to rain tomorrow,weather
what is the weather outside,weather
what will be the weather tomorrow,weather
what is the weather in atlanta,weather
what is the weather in tokyo,weather
what's the humidity today,weather
what was the temperature yesterday,weather
what's today's high and low,weather
what's the weather today,weather
what's the chance of rain,weather
how cold is it in wisconsin today,weather
can you tell the temperature it will tomorrow,weather
set up whisper mode,whisper_mode
how do i go to whisper mode,whisper_mode
change over to whisper mode,whisper_mode
i need to be out of whisper mode,whisper_mode
i'd like to be out of whisper mode,whisper_mode
take me out of whisper mode,whisper_mode
i want to be out of whisper mode,whisper_mode
please use your whispering voice; i need quiet,whisper_mode
let's try whisper mode,whisper_mode
use your whisper voice,whisper_mode
can you please whisper,whisper_mode
whisper to me,whisper_mode
make a switch to whisper mode,whisper_mode
whisper please,whisper_mode
i need quiet; use whisper,whisper_mode
go into whisper mode,whisper_mode
engage whisper mode,whisper_mode
enable whisper mode,whisper_mode
put whisper mode on,whisper_mode
please use whisper mode,whisper_mode
spell: dessert,spelling
how do you spell dessert,spelling
tell me how to spell the word dessert,spelling
what is the correct spelling of the word: dessert,spelling
how to spell: dessert,spelling
can you spell the word umbrella for me,spelling
please spell the word umbrella,spelling
please tell me how to spell umbrella,spelling
how do you spell umbrella,spelling
how is the word umbrella spelled,spelling
how is doctor spelled,spelling
tell me how to spell doctor,spelling
please spell doctor,spelling
how to spell doctor,spelling
spell doctor,spelling
malignant is spelled how exactly,spelling
tell me how to spell malignant,spelling
what is the correct spelling for malignant,spelling
how would i go about spelling malignant,spelling
how should i spell malignant,spelling
how ya doin,greeting
how ya been,greeting
hows are ya,greeting
heyo,greeting
are you good,greeting
how is it going my friend,greeting
how you are,greeting
tell me how are you,greeting
hi what's up,greeting
hey what's up,greeting
hey how's it going,greeting
"hi, ai",greeting
"good morning, ai",greeting
how've you been,greeting
wassup,greeting
hey,greeting
hiya,greeting
how's it hanging,greeting
hi,greeting
hello,greeting
factory settings restoration,reset_settings
i need you to reset to your factor settings,reset_settings
can you reset to factor settings,reset_settings
i want you to reset to factory settings,reset_settings
i want to restore your factory settings,reset_settings
switch back to factory settings,reset_settings
i want you to go back to factory settings,reset_settings
restore factory settings,reset_settings
i want a clean bootup to factory settings,reset_settings
change back to factory settings,reset_settings
reset to factory settings,reset_settings
go back to default settings,reset_settings
now i'd like for you to return to the original settings,reset_settings
can you now please go back to the original settings,reset_settings
please revert to the original settings,reset_settings
now restore the original settings,reset_settings
configure this to factory settings,reset_settings
make my settings go back to their factory settings,reset_settings
set this to my factory settings,reset_settings
change to factory settings,reset_settings
what may i call you,what_is_your_name
what was your name again,what_is_your_name
your name is,what_is_your_name
whats your name by the way,what_is_your_name
what's your name if i may ask,what_is_your_name
what is your name by chance,what_is_your_name
what is your names,what_is_your_name
what exactly is your name,what_is_your_name
what's the name i should use to talk to you,what_is_your_name
what is your given name,what_is_your_name
what's the name you like to be called,what_is_your_name
what's the name you were given,what_is_your_name
can i ask your name,what_is_your_name
do you mind if i ask your name,what_is_your_name
do you have a nickname,what_is_your_name
what do you go by,what_is_your_name
what do you call yourself,what_is_your_name
i'd like to know your name,what_is_your_name
your name please,what_is_your_name
can i have your name,what_is_your_name
let me hear the song sympathy for the devil,play_music
please start the song penny lane,play_music
i want to hear satisfaction,play_music
fetch the song smells like teen spirit and play it,play_music
i am in the mood to listen to mack the knife,play_music
can you play the song that sounds like thun thun thun,play_music
"play the song that goes like i like to move it, move it",play_music
